Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-98.05213	-131.7484	33.69629	0.3570879	0.284515	0.715485	1.208993
6	-98.94302	-132.515	33.572	0.8103008	0.49382	0.50618	0.8931228
12	-82.14238	-116.2664	34.12397	0.2583291	0.337592	0.662408	0.8931228
18	-86.373	-120.1942	33.82122	0.4597516	0.60751	0.39249	1.000609
24	-95.53612	-128.4931	32.95696	0.7381326	0.273949	0.726051	1.493955
30	-92.35813	-126.0988	33.74072	0.7381326	0.387513	0.612487	0.7719378
36	-93.08782	-127.2174	34.12957	0.1541105	0.621647	0.378353	0.9978962
42	-93.27188	-126.7984	33.52651	1.044419	0.472843	0.527157	0.5994503
48	-90.04154	-123.7187	33.67715	0.7803922	0.111452	0.888548	0.8011824
54	-95.90346	-129.6602	33.75676	0.7983587	0.331182	0.668818	0.6403932
60	-91.03503	-125.0799	34.04488	0.1495442	0.551588	0.448412	1.083821
66	-88.87413	-122.946	34.07183	0.1488223	0.551588	0.448412	1.059239
72	-90.81671	-124.76	33.94329	0.2773546	0.460662	0.539338	1.059239
78	-97.93423	-131.2702	33.33601	0.2041791	0.31466	0.68534	1.608271
84	-95.64934	-129.0715	33.42211	1.121194	0.594345	0.405655	0.6656023
90	-92.74538	-126.4604	33.71503	0.8733885	0.17015	0.82985	0.4980516
96	-97.12251	-130.4805	33.35797	1.125454	0.38529	0.61471	0.7653946
102	-101.5057	-134.9135	33.40773	1.179771	0.175112	0.824888	0.5218046
108	-91.76132	-125.1515	33.39014	1.179771	0.243248	0.756752	0.6025044
114	-93.32576	-126.4702	33.14448	1.257985	0.503739	0.496261	0.8698275
120	-88.98722	-122.3052	33.31794	1.257985	0.176249	0.823751	0.4250487
126	-92.39478	-125.1148	32.72	1.788022	0.49625	0.50375	0.3253528
132	-91.42628	-125.3667	33.94046	0.5857024	0.65606	0.34394	0.6977827
138	-90.98033	-124.7642	33.78385	0.7698016	0.412947	0.587053	0.6436993
144	-91.14389	-124.4643	33.3204	1.259544	0.582408	0.417592	0.4376462
150	-89.36733	-122.851	33.4837	1.023646	0.256585	0.743415	0.3247193
156	-91.65604	-125.0642	33.40812	0.4010254	0.256585	0.743415	1.406917
162	-94.33648	-127.6264	33.28995	0.7771511	0.450769	0.549231	1.197255
168	-94.17291	-127.1509	32.97801	0.187928	0.408642	0.591358	1.871073
174	-89.02182	-123.1025	34.08072	0.1287697	0.0993387	0.900661	1.069763
180	-88.89175	-123.0583	34.16651	0.4173919	0.60831	0.39169	0.5490772
186	-87.9537	-120.8771	32.92343	0.5792728	0.231666	0.768334	1.635372
192	-87.3938	-121.3992	34.00545	0.5792728	0.246797	0.753203	0.544271
198	-87.45069	-120.7331	33.28245	1.283462	0.21745	0.78255	0.6137427
204	-87.91826	-121.3788	33.46054	1.118507	0.253954	0.746046	0.4346046
210	-93.77247	-126.6064	32.83396	0.3311431	0.411847	0.588153	1.871645
216	-93.91572	-128.3368	34.42106	0.0675748	0.480581	0.519419	0.7578083
222	-96.47662	-130.7517	34.27513	0.3131402	0.218126	0.781874	0.5090952
228	-93.40997	-127.0325	33.62255	0.4096722	0.29003	0.70997	1.226941
234	-93.80672	-127.1821	33.37536	0.3496827	0.549798	0.450202	1.471364
240	-90.55723	-124.9525	34.39528	0.06182535	0.268579	0.731421	0.8017614
246	-90.0997	-124.002	33.9023	0.06897149	0.189129	0.810871	1.277675
252	-96.21693	-129.7419	33.525	1.054224	0.330552	0.669448	0.5709535
258	-95.13606	-128.6405	33.50447	0.6334378	0.197738	0.802262	1.135268
264	-97.90896	-131.3233	33.41438	0.8366493	0.161193	0.838807	1.030104
270	-92.7232	-125.3394	32.61624	0.4385083	0.161193	0.838807	1.946408
276	-91.60257	-124.4243	32.82177	0.7343119	0.271069	0.728931	1.596724
282	-88.8824	-122.7087	33.82632	0.3690447	0.159525	0.840475	1.08295
288	-93.748	-127.3225	33.5745	0.6305483	0.0419892	0.958011	1.073919
294	-91.30366	-125.0647	33.76099	0.1845303	0.499239	0.500761	1.298713
